Año,porcentaje_personas_usan_internet
2016,76.02944444444444
2017,75.16121951219513
2018,72.44880952380952
2019,73.54536585365854
2020,73.86144736842105
2021,76.52552631578946
2022,77.84308823529412
2023,78.67416666666666
2024,77.33716216216216
